word,translation
-te,forms the first-person and third-person singular of the past tense and past subjunctive of weak verbs and some irregular verbs
-thum,obsolete spelling of -tum
-thumb,obsolete spelling of -tum
-tion,-tion
-trop,Placename suffix found chiefly in north-western Germany
-trächtig,"Forms adjectives from nouns, indicating being filled with or bringing with itself a great amount of that noun"
-tum,A suffix used to derive abstract nouns: -dom
-tägig,in compound words: days old
-um,generally unproductive suffix found in neuter nouns of Latin origin
-ung,-ing
-urie,-uria
-verdächtig,"Used to form adjectives from nouns, the adjectives having the sense of ""a person or thing can expect to get the thing described the noun""."
-vitz,A surname suffix
-voll,An adjective suffix in a sense of “full of”
-weise,Used to form adverbs from nouns.
-wert,-worthy
-wertig,valent
-wesen,area of human activity
-witz,A surname suffix
-wärtig,Forming adjectives denoting the position of someone or something.
-wärts,"-wards. Forms adverbs denoting course or direction to, or motion or tendency toward. The adverbs are formed either from a noun or from a preposition."
-wöchig,Builds an adjective that specifies the number of weeks in a duration or (less frequently) in an age.
-würdig,-worthy
-yl,-yl
-zen,Verbal suffix that expresses the utterance of some word or sound.
-zentrisch,-centric
-zid,-cide
-zig,-ty
-zu-,zu
-ämie,"-aemia, -emia"
-är,-ary
-äugig,Creates adjectives that refer to the quantity or a quality of eyes. Corresponds to eyed
-ös,"A suffix, sometimes matching -ous."
-∅,used to form the dative of strong masculine and neuter nouns ending in a stressed syllable
0.,abbreviation of nullte
1,abbreviation of ein
1.,abbreviation of erste
10-DM-Banknote,"10 Deutsche Mark banknote, DM 10 note"
10-Euro-Banknote,"10 euro banknote, 10 euro note"
10.,abbreviation of zehnte
100-DM-Banknote,"100 Deutsche Mark banknote, DM 100 note"
100-Euro-Banknote,"100 euro banknote, 100 euro note"
1000-DM-Banknote,"1000 Deutsche Mark banknote, DM 1000 note"
11.,abbreviation of elfte
12.,abbreviation of zwölfte
13.,abbreviation of dreizehnte
17. Bundesland,"Mallorca, Majorca (an island in the Mediterranean"
175er,"a homosexual, especially in Germany from 1871 to 1994"
2.,abbreviation of zweite
