word,translation
Nichtstun,"idleness, faineance"
Nichtswisser,ignoramus
nichtswürdig,"unworthy, despicable, contemptible"
nichtsymbiotisch,nonsymbiotic
Nichttänzer,non-dancer
Nichttänzerin,non-dancer
Nichtverfügbarkeit,unavailability
Nichtzahlung,nonpayment
Nick,a diminutive of the male given name Nikolaus
Nickel,nickel (a silvery elemental metal with an atomic number of 28 and symbol Ni).
Nickelarsenid,nickel arsenide
Nickelarsenkies,gersdorffite (nickel arsenic sulfide)
Nickelbasislegierung,nickel-based alloy
Nickelbrille,"Windsor glasses, John Lennon glasses, wire-rimmed glasses"
nickelfrei,nickel-free
Nickelgruppe,"nickel group (of the periodic table :- nickel, palladium, platinum and darmstadtium)"
Nickelherstellung,nickel production
Nickeligkeit,nastiness
Nickelin,nickeline
Nickellegierung,nickel alloy
Nickelsdorf,"a municipality of Burgenland, Austria"
nicken,to nod (one's head)
Nicker,nap
Nickerchen,"nap, catnap, snooze"
Nickhaut,nictitating membrane
Nickligkeit,nastiness
Nickname,"nickname in the sense of screenname, handle"
Niclas,"a male given name, variant of Niklas"
Nico,a male given name
Nicola,"a female given name of 1960s and later usage, masculine equivalent Nikolaus, Nikolas, or Niklas"
Nicolas,"a male given name from French, feminine equivalent Nicolas"
Nicolaus,a male given name
Nicole,"a female given name, masculine equivalent Nikolaus, Nikolas, or Niklas"
Nicotinamid,nicotinamide
Nidation,nidation
Nidwalden,Nidwalden (a canton of Switzerland)
nie,"never, never at all (referring to an indefinite period of time)"
nie da gewesen,unprecedented
nie im Leben,never ever
nie und nimmer,never ever
Niebuhr,a surname
nieden,below
nieder,low
nieder-,down
Niederadel,petty nobility
Niederbayer,inhabitant of Lower Bavaria
Niederbayerin,A female person from the Lower Bavaria (Niederbayern) or of Niederbayern descent
niederbayerisch,Lower Bavarian
Niederbayern,Lower Bavaria (an administrative region of Bavaria
Niederbergisch,The northern and lower part of the Bergisches Land in North Rhine-Westphalia
niederblicken,to look down (to lower one's eyes
niederbrechen,"to demolish, to tear down (with haben)"
niederbrennen,to burn down
Niederdeutsch,Low German (West Germanic languages that did not undergo the High German consonant shift)
Niederdruck,low gas or vapor pressure
niederdrücken,to press down
niederenergetisch,low-energy
niederfallen,to fall to the ground
Niederfränkisch,"Low Franconian, Low Frankish"
niederführen,to run someone over
Niedergang,"demise, downfall, decline, comedown"
niedergerissen,"knocked down, pulled down, taken down"
niedergeschlagen,"downhearted, low-spirited"
Niedergeschlagenheit,"dejection, despondency, depression, low spirits"
niederhalten,"to hold someone on the ground, to pin down someone"
Niederhasle,Former spelling of Niederhasli which is no longer standard.
Niederhasli,"a municipality of Dielsdorf district in Zürich canton, Switzerland"
niederhauen,to defeat (an enemy)
niederhochdeutsch,referring to High German ~ Standard German as written and spoken in traditionally Low German areas
Niederhollabrunn,"a municipality of Lower Austria, Austria"
Niederkappel,"a municipality of Upper Austria, Austria"
niederknieen,Former spelling of niederknien which is no longer standard.
niederknieend,kneeling down
niederknien,"to kneel down, to genuflect"
niederkommen,to give birth
Niederkunft,"birth, childbirth, confinement, childbed, accouchement, travail, delivery"
Niederlage,"defeat, loss"
Niederland,lowland
Niederlande,"Netherlands (the main constituent country of the Kingdom of the Netherlands, located primarily in Western Europe bordering Germany and Belgium)"
niederlassen,"to settle, to relocate"
Niederlassung,settlement
Niederlassungsfreiheit,"right of domicile, freedom of establishment"
Niederlausitz,Lower Lusatia
niederlegen,to lay down
Niederlegung,putting down
Niederleis,"a municipality of Lower Austria, Austria"
Niederländer,"a Dutch person, a Dutchman (male or of unspecified gender)"
Niederländer:in,gender-neutral equivalent of Niederländer (“Dutch person”)
Niederländerin,Dutchwoman (a Dutch woman)
Niederländisch,"Dutch, the Dutch language"
niedermachen,"to slaughter, to massacre (usually a group of people)"
niedermetzeln,"to massacre, slaughter, especially (though not necessarily) with a knife, sword"
niedermolekular,of low molecular weight
niedermähen,to mow down
Niederndorf,"a municipality of Tyrol, Austria"
Niederndorferberg,"a municipality of Tyrol, Austria"
Niederneukirchen,"a municipality of Upper Austria, Austria"
Niedernhall,"Niedernhall (a town in eastern Baden-Württemberg, Germany)"
Niedernsill,"a municipality of Salzburg, Austria"
niederprügeln,"to beat up, to rough up"
Niederrad,safety bicycle
niederreden,"to talk someone into the ground, to wear down someone by talking"
niederreissen,Switzerland and Liechtenstein standard spelling of niederreißen
Niederreisser,Switzerland and Liechtenstein standard spelling of Niederreißer
Niederreisserin,Switzerland and Liechtenstein standard spelling of Niederreißerin
niederreißen,"to tear down, to pull down"
Niederrhein,Lower Rhine (the Rhine in Germany north of Bonn)
niederrheinisch,of the Lower Rhine (Niederrhein)
niederringen,"to wrestle down, to outwrestle"
niederrinnen,to flow down
Niedersachse,person from Lower Saxony
Niedersachsen,Lower Saxony (a state in northwest Germany)
niederschauen,to look down
niederschießen,to shoot down
Niederschlag,"fallout, condensation"
niederschlagen,to defeat (an enemy)
niederschlagsarm,low-rainfall
niederschlagsfrei,"rainless, free of precipitation"
niederschlagsreich,"rainy, (with high precipitation)"
Niederschlagswahrscheinlichkeit,probability (chance) of precipitation
niederschmetternd,"devastating, shattering, staggering, crushing"
niederschreiben,"to write down, to put into writing (as a lasting record, not typically of throwaway notes)"
niederschreien,to shout down
Niederschrift,"minute, written record"
niedersetzen,"to set down something, to place"
Niedersorbisch,Lower Sorbian (a Slavic language spoken in part of Brandenburg)
niederstarren,"stare down, intimidate by glaring at"
niederstechen,to stab down
niederstossen,Switzerland and Liechtenstein standard spelling of niederstoßen
Niederstotzingen,"Niederstotzingen (a town in eastern Baden-Württemberg, Germany)"
Niederstotzinger,A native or inhabitant of Niederstotzingen
Niederstotzingerin,A female person from Niederstotzingen or of Niederstotzingen descent.
niederstoßen,"to thrust down, to knock down (to hit or knock (something) so that it falls)"
niederstrecken,"to kill, to strike down"
niederstürzen,"to fall down, to crash down"
Niedersächsisch,"Low Saxon (language, language group or group of dialects)"
Niederthalheim,"a municipality of Upper Austria, Austria"
Niedertracht,"malice, perfidy, infamy, ignominy"
niederträchtig,"malevolent, vile, malign, scurrilous"
Niederträchtigkeit,"perfidy, maliciousness, infamy, ignominy"
Niederung,lowland
Niederungsburg,"lowland castle, plains castle"
Niederwaldkirchen,"a municipality of Upper Austria, Austria"
niederwerfen,to throw down
Niederwild,small game
niederwärts,downwards
Niederösterreich,Lower Austria (a state of Austria)
Niederösterreicher,"a native or inhabitant of Lower Austria, a state of Austria."
niederösterreichisch,Lower Austrian
niedlich,"cute, pretty, charming, adorable"
Niedlichkeit,cuteness
Niednagel,hangnail
niedrig,low
Niedrigkeit,lowliness
niedrigpreisig,"low-priced, low-cost"
Niedrigwasser,low water level
Niehoff,a surname
Niels,a male given name
niemals,never (at no time)
niemand,"nobody, no one"
niemand hat die Absicht,introduces a sentence that expresses a supposed secret plan or hidden agenda
Niemandsland,no man's land
Niemegk,"Niemegk (a town in western Brandenburg, Germany)"
Niemitz,a surname
Nienborg,"a village, now part of the municipality of Heek, western Münsterland, North Rhine-Westphalia, Germany"
Nienburg,a town and rural district of Lower Saxony
Nienhagen,"a municipality of Rostock district, Mecklenburg-Vorpommern, Germany"
Nienhagener,A native or resident of Nienhagen (male or of unspecified sex)
Niere,kidney (organ)
Nierenbecken,renal pelvis
Nierenentzündung,nephritis
Nierenfunktion,renal function
Nierenfunktionsstörung,renal dysfunction
nierenförmig,kidney-shaped
Nierenglomerulus,renal glomerulus
Nierenkrankheit,kidney disease
Nierenlager,renal bed
Nierenschädigung,kidney damage
Nierenstein,"nephrolith, kidney stone"
Nierentisch,a kidney-shaped table design popular in the 1950s
nierentoxisch,nephrotoxic
Nierentransplantation,kidney transplantation
Nierentubulus,renal tubule
Nierenversagen,"kidney failure, renal failure"
nierig,reniform
Nierstein,"Nierstein (a town in eastern Rhineland-Palatinate, Germany)"
Nierstück,a cut of meat from the loin (usually of pork)
nieseln,to drizzle
Nieselregen,drizzle
niesen,to sneeze
Niesewand,a surname
Niesky,"Niesky (a town in eastern Saxony, Germany)"
Niesreiz,"sneezing stimulus, sneezing irritation"
Niessbrauch,Switzerland and Liechtenstein standard spelling of Nießbrauch
Niessen,Switzerland and Liechtenstein standard spelling of Nießen
Nieswurz,hellebore (Helleborus)
Niet,rivet
niet- und nagelfest,nailed down (as in: everything that wasn't nailed down)
Niete,"blank, dud (lottery ticket that does not give a payout)"
nieten,to rivet
Niethose,jeans
Nietzsche,a surname
Niewiesche,"Niewiesze (a village in Rudziniec, Gliwicki, Silesian, Poland)"
Nießbrauch,usufruct
Nießbraucher,usufructuary
Nießbraucherin,feminine equivalent of Nießbraucher m
nießen,to use
niftern,to die
nigelnagelneu,brand spanking new
Niger,"Niger (a country in West Africa, situated to the north of Nigeria)"
Nigeria,"Nigeria (a country in West Africa, south of the country of Niger)"
Nigerianer,"Nigerian, person from Nigeria (of unspecified sex, or specifically male)"
nigerianisch,of Nigeria
Nigger,nigger (male or of unspecified gender)
Niggerboy,niggerboy
Niggergirl,niggergirl
Niggli,a surname
nigrisch,of Niger
Nihilartikel,nihilartikel
Nihilismus,nihilism
Nihilist,nihilist (person)
nihilistisch,nihilistic
Nihonium,nihonium
Nike,Nike
Nikitsch,"a municipality of Burgenland, Austria"
Niklas,a male given name from Nikolaus
Niklasdorf,"a municipality of Styria, Austria"
Niklaus,"a male given name, variant of Nikolaus"
Niko,"a male given name, variant of Nico"
Nikodemus,Nicodemus (biblical figure)
Nikola,"a female given name, variant of Nicola"
Nikolas,"a male given name, variant of Nikolaus or Niklas, feminine equivalent Nikola, Nicola, or Nicole"
Nikolaus,St. Nicholas
Nikolsdorf,"a municipality of Tyrol, Austria"
Nikosia,Nicosia (the capital of Cyprus)
Nikotin,nicotine
nikotinarm,low-nicotine
nikotinfrei,nicotine-free
nikotingelb,"nicotine-rich, high-nicotine"
nikotinhaltig,containing nicotine
Nikotinsucht,smoking addiction
nikotinsüchtig,addicted to nicotine
Nil,"Nile (a large river in Africa, usually considered to be the longest river in the world"
Nilbarsch,"Nile perch, Lates niloticus (fish)"
Nilflughund,Egyptian fruit bat (Rousettus aegyptiacus)
nilisch,of the Nile
Nilkrokodil,Nile crocodile
Nille,penis
nillenkrank,Suffering from a venereal disease (of a man)
Nillenkäse,smegma
nilotisch,of the Nile
Nilpferd,hippopotamus
Nils,a male given name from Swedish or Norwegian
nimbieren,"to depict with a halo, to furnish with a nimbus"
nimbiert,"nimbed, nimbate"
Nimbierung,The act of adorning a depicted figure with a halo or nimbus around the head. The depicted figure usually represents a holy person or a symbolic animal.
Nimbus,"aureola, aureole"
nimmer,"never, at no time"
nimmermehr,"nevermore, never again"
Nimmersatt,glutton
Nimmerwiedersehen,never getting together again
Nimptsch,a surname
Nimwegen,Nijmegen (city in the Netherlands)
Nina,"a female given name, popular since the 1980s"
Ninhydrin,ninhydrin
Ninja,ninja
Niob,niobium
Niobat,niobate
Niobcarbid,niobium carbide
Niobchlorid,niobium chloride
Niobe,Niobe
Niobfluorid,niobium fluoride
niobhaltig,Containing/yielding niobium
Niobit,niobite
Nioblegierung,niobium alloy
Niobpentoxid,niobium pentoxide
Nipkow,a surname
Nippel,nipple
Nippelspanner,spoke wrench
nippen,to sip
Nippes,"knick-knack, trinkets (small objects of minor value)"
Nippflut,neap tide
Nipponium,nipponium
Niqab,niqab
nirgend,nowhere (in no place)
nirgendher,from nowhere (from no place)
nirgendhin,nowhere (to no place)
nirgends,nowhere (in no place)
nirgendsher,from nowhere (from no place)
nirgendshin,nowhere (to no place)
nirgendwo,nowhere (in no place)
nirgendwoher,from nowhere (from no place)
nirgendwohin,nowhere (to no place)
Nirwana,nirvana
Nisbe,nisba (derivational suffix in Arabic and certain other Oriental languages
Nische,niche
Nischenmarkt,niche market
nischig,nichey
nisl.,abbreviation of neuisländisch
Niss,archaic form of Nisse (“nit”)
Nisse,nit (louse egg)
nisten,to nest
Nistkasten,nest box
Nitrat,nitrate
Nitration,nitration
Nitratmineral,nitrate mineral
Nitratreduktase,nitrate reductase
Nitratsalz,nitrate salt
Nitrid,nitride
Nitril,nitrile
Nitrit,nitrite
Nitritreduktase,nitrite reductase
nitro-,nitro-
Nitrogen,nitrogen
Nitrogenase,nitrogenase
Nitrogenium,nitrogen
Nitroglycerin,nitroglycerine
Nitrogruppe,nitro group (functional group)
Nitromethan,nitromethane
Nitrosylschwefelsäure,nitrosylsulfuric acid
Nitroverbindung,nitro compound
niueanisch,of Niue
nival,nival
Niveau,level (the physical elevation at which something is located or constructed)
niveaugleich,"on the same level, matching in elevation"
niveaulos,"distasteful, unclassy, undignified (failing to meet even basic standards of respect)"
niveauvoll,high-class
nivellieren,to level
Niwo,eye dialect spelling of Niveau
nix,no way!
nix da,"no!, no way!, no chance!"
Nixblume,"yellow waterlily, Nuphar lutea"
Nixe,nixie (female water-spirit)
Nizza,"Nice (a coastal city, the capital of Alpes-Maritimes department in the Provence-Alpes-Côte d'Azur region in southeast France)"
Nizzasalat,Niçoise salad
Nizäa,Nicaea
njam,yum
njet,"nyet, no (in a Russian or Soviet context)"
NK,abbreviation of Nebenkosten
nl.,abbreviation of niederländisch (“Dutch (language)”)
nlat.,abbreviation of neulateinisch
NLV,initialism of Niedersächsischer Leichtathletik-Verband
NLW,initialism of Neulateinische Wortliste
Nm,"initialism of Newtonmeter (American: newton meter, British: newton metre)"
NN,initialism of Normalnull
NNDW,initialism of Neue Neue Deutsche Welle
nnl.,abbreviation of neuniederländisch (“Modern Dutch”)
nnorw.,abbreviation of neunorwegisch (“modern Norwegian”)
NO,abbreviation of Nordost (“northeast”)
No-Go,no go (something which should not or cannot be done)
Noah,Noah (biblical character)
nobel,"noble, honourable"
Nobelium,nobelium
Nobelpreis,Nobel Prize
Nobelpreisrede,Nobel Prize acceptance speech
Nobelpreisträger,Nobel laureate
nobelpreiswürdig,worthy of a Nobel Prize
Nobiskrug,hell
Noblesse,nobility
noch,"still, yet (up to and including a given time)"
noch dazu,"to boot, into the bargain, for good measure"
noch einmal,"one more time, again"
noch in den Kinderschuhen stecken,to be in its infancy
noch ist Polen nicht verloren,all is not lost
noch nicht,not yet
noch nicht aller Tage Abend sein,all is not lost
"noch so'n Spruch, Kieferbruch",Said to warn or intimidate someone who made a remark one does not like.
noch und noch,"à gogo, in abundance"
noch und nöcher,"à gogo, in abundance"
nochall,namely
nochmal,once again
nochmals,"again, once more"
Nock,bridge wing
Nocke,gnocchi
Nocken,"cam (turning or sliding piece which imparts motion to a rod, lever or block)"
Nockenwelle,camshaft (a shaft fitted with cams)
Noemi,Naomi (biblical character)
noetisch,noetic
Nofretete,Nefertiti
Nokia,"Nokia (a town and municipality of Pirkanmaa, Finland)"
Noltemeyer,a surname
Nomade,nomad
Nomadentum,nomadism
nomadisch,nomadic
Nomen,"any declinable part of speech, i.e. substantive, adjective, numeral, article, pronoun"
Nomen agentis,agent noun
Nomen loci,"a noun, usually deverbal, that gives the place where something is done"
Nomen proprium,synonym of Eigenname
nomenklatorisch,nomenclatural
Nomenklatur,nomenclature
nominal,nominal
nominalistisch,nominalistic
Nominalklammer,A syntactic phenomenon in some Germanic languages (and perhaps other languages) according to which attributes usually precede the noun in a noun phrase even if this creates a wide gap between the noun and its article or determiner at the beginning of the phrase.
Nominalklasse,noun class
Nominallohn,"nominal wage (the wage measured in monetary terms, without adjustment for inflation or purchasing power)"
Nominallohnstopp,nominal wage freeze (a policy or agreement to keep wages at their current nominal level for a certain period)
Nominalphrase,noun phrase (phrase that can serve as the subject or the object of a verb)
Nominalsatz,a clause that does not contain a verb
Nominalwert,"nominal value, face value"
Nominativ,the nominative case
Nominativergänzung,nominal complement
nominieren,to nominate
Nominierung,nomination
nomma,"again, once more"
Nomokratie,nomocracy
nomologisch,nomological
nomothetisch,nomothetic
Non,15 o'clock (the 9th hour when the first hour is set at 6 o'clock)
Non Plus Ultra,"A small size of type, equivalent to 2 point."
non-,non- (negation prefix)
Non-Profit-Organisation,non-profit organization
Non-Profit-Unternehmen,non-profit enterprise
nonadec-,nonadec-
Nonagon,nonagon
Nonan,nonane
Nonanol,nonanol (C₉H₁₉OH
nonbinär,non-binary
Nonchalance,nonchalance
nonchalant,nonchalant
None,A ninth
Nonillion,septendecillion (10⁵⁴)
Nonius,nonius
nonkonform,nonconformist
Nonkonformismus,nonconformism
Nonkonformist,nonconformist (male or of unspecified gender)
nonkonformistisch,nonconformist
Nonkonformität,"nonconformity (rejection of or the failure to conform, especially to standards, rules, or laws)"
Nonne,nun
Nonnenfalter,"black arched moth, nun moth (Lymantria monacha)"
Nonnenfürzle,nun's puff (a small choux pastry eaten during carnival season in southern Germany (especially Swabia and Allgäu))
Nonnenkloster,"nunnery, convent"
Nonnweiler,"a municipality of Sankt Wendel district, Saarland, Germany"
Nonplusultra,"ultimate, ne plus ultra, the very best (of something)"
nonprofit,nonprofit
Nonsens,"rubbish, nonsense"
Noob,noob
Noosphäre,noosphere
Noppe,"nub, nap (small lump or knob)"
noppen,to pick or pluck off pills/nubs (from a fabric)
NOR-Gatter,"NOR gate, a logic gate performing a Boolean logic NOR operation"
Nora,a female given name
Norbert,"a male given name, equivalent to English Norbert"
Nord,the north (used without article
Nordafrika,"North Africa (a geographic region comprising the northern part of Africa, usually referring to specifically the regions north of the Sahara Desert where Arabic is widely spoken as a mother tongue)"
Nordafrikaner,a North African (male or of unspecified gender)
Nordafrikanerin,a female North African
nordafrikanisch,North African
Nordamerika,North America (the continent forming the northern part of the Americas)
Nordamerikaner,North American (person)
nordamerikanisch,North American
Nordamerikanische Pfeifente,"a species of duck, American wigeon (Anas americana)"
Nordchina,a not clearly defined northern part of China
Nordd.,abbreviation of Norddeutschland (“northern Germany”)
Norddakota,North Dakota (a state in the Upper Midwest region of the United States)
norddeutsch,North German
norddeutsche Palme,kale
Norddeutscher,a person who comes from or lives in Northern Germany (male or of unspecified gender)
Norddeutschland,"northern Germany, specifically"
norddonauisch,to the north of the Danube
nordelbisch,on the north side of the Elbe
Norden,north (direction)
Nordengland,Northern England
Norderney,"an island in the Aurich district, Lower Saxony, one of the seven populated East Frisian Islands off the North Sea coast of Germany"
Norderneyer,Native or inhabitant of Norderney
Norderneyerin,a female native or inhabitant of Norderney
Nordeuropa,"Northern Europe (a sociopolitical region of Europe including such countries as Denmark, Finland, Iceland, Norway, Sweden, Estonia, Latvia and Lithuania)"
Nordeuropäer,Northern European (one who comes from or lives in Northern Europe)
Nordeuropäerin,female Northern European (A female person from Northern Europe or of Northern European descent)
nordeuropäisch,Northern European
Nordfrankreich,northern France
Nordfriese,North Frisian (man belonging to the North Frisian people)
Nordfriesisch,North Frisian (the North Frisian language)
Nordfriesland,"North Frisia (a cultural region in Schleswig-Holstein between the rivers Eider and Wiedau, also including the North Frisian Islands and Heligoland)"
nordgermanisch,North Germanic
Nordhalbkugel,"Northern Hemisphere (the hemisphere in Earth to the north of the Equator, in which 90% of the total land area on Earth is located)"
Nordhausen,a town and rural district of Thuringia
Nordhausener,a native or inhabitant of Nordhausen
Nordhausenerin,a female native or inhabitant of Nordhausen
Nordholz,"Nordholz (a locality in Buch, Neu-Ulm district, Bavaria, Germany)"
Nordhorn,"a town, the administrative seat of Grafschaft Bentheim district, Lower Saxony"
Nordic Walking,Nordic walking
Nordire,"Northern Irelander, Northern Irishman"
Nordirland,"Northern Ireland (a constituent country and province of the United Kingdom, situated in the northeastern part of the island of Ireland)"
nordisch,Nordic
Norditalien,Northern Italy
Norditaliener,northern Italian (person)
norditalienisch,"North Italian (Of or pertaining to Northern Italy, its people, culture or languages)"
Nordkorea,"North Korea (a country in East Asia, whose territory consists of the northern part of Korea"
nordkoreanisch,"North Korean (of, from or relating to North Korea)"
Nordküste,north coast
Nordland,a country in Northern Europe
Nordlicht,northern lights
Nordländer,northerner
Nordmann,"Norseman, Viking, Scandinavian"
Nordmanntanne,"Nordmann fir, Caucasian fir (Any tree of the species Abies nordmanniana, a large evergreen coniferous tree naturally occurring at altitudes of 900–2,200 m.)"
Nordmauer,north wall
Nordmazedonien,North Macedonia (a country on the Balkan Peninsula in Southeastern Europe)
nordniederdeutsch,North Low German
nordniederfränkisch,North Low Franconian
Nordost,northeast
Nordostchina,northeast China
nordostchinesisch,northeast-Chinese
nordostdeutsch,"of northeastern Germany (of or pertaining to the people, the culture or the dialects of this region)"
Nordosten,northeast
Nordpol,North Pole
Nordrhein,North Rhine province (a short-lived administrative unit in the British occupation zone of Germany after the Second World war)
Nordrhein-Westfale,someone from North Rhine-Westphalia
Nordrhein-Westfalen,North Rhine-Westphalia (a state in western Germany)
nordrhein-westfälisch,of North Rhine-Westphalia
nordrheinisch,to the north of the Rhine
Nordsachsen,a rural district of Saxony
Nordsamisch,Northern Sami (language)
Nordsee,North Sea
Nordseegarnele,"The common shrimp, Crangon crangon."
Nordseekrabbe,"The common shrimp, Crangon crangon."
Nordseite,north side
nordsiebenbürgisch,north Transylvanian
Nordvietnam,North Vietnam (a former communist state in Southeast Asia that governed Vietnam north of the 17th parallel from 1954 to 1976. The government was first proclaimed in 1945)
Nordwand,northern wall/face
Nordwest,northwest
nordwestdeutsch,"of northwestern Germany (of, from or pertaining to the people, the culture or the dialects of this region)"
Nordwesten,northwest
Nordwesteuropa,"Northwest Europe (a geographic region at the intersection of Northern Europe and Western Europe, approximately including Belgium, Netherlands, Luxembourg, the United Kingdom and Ireland, and sometimes parts of adjoining countries)"
nordwestlich,"northwest, northwesterly"
Nordwestmecklenburg,a rural district of Mecklenburg-Vorpommern
Nordwind,north wind
nordwärts,"northward, northwards (towards the north)"
nordöstlich,northeasterly
Norfolktanne,Norfolk Island pine
Norm,norm (rule that is enforced by members of a community)
normal,"ordinary, normal"
Normalbedingung,normal / standard conditions
Normalbürger,average citizen
Normaldruck,normal / standard pressure
normalerweise,normally
Normalfall,rule (normal case)
Normalgewicht,"normal, healthy weight (commonly understood as corresponding to a BMI in the range of 18.5 to 25)"
normalgewichtig,"having or pertaining to normal, healthy weight (commonly understood as having a BMI in the range of 18.5 to 25)"
Normalgewichtige,nominalization of normalgewichtig
Normalgewichtiger,nominalization of normalgewichtig
normalisierbar,normalizable
normalisieren,to normalize
Normalisierung,normalization
Normalität,"normality, normalcy"
Normalnull,The mean altitude of sea level
Normalo,"normie, square (socially conventional person)"
Normalpotential,normal potential
Normalspur,"standard-gauge track, standard gauge"
Normalspurbahn,standard-gauge railway
Normalsterblicher,mere mortal (male or of unspecified gender)
Normalteiler,normal subgroup (subgroup that is invariant under conjugation)
Normaltemperatur,normal temperature
Normaluhr,"public clock, turret clock"
Normalverbraucher,average consumer
Normalverteilung,normal distribution
Normalzustand,normal state
Normandie,"Normandy (an administrative region, historical province, and medieval kingdom in northwest France, on the English Channel)"
Normanne,Norman
normannisch,Norman
normativ,"normative (of, pertaining to, or using a norm or standard)"
Normbedingung,standard condition(s)
Normdatum,standard data
normen,"to standardize, to set a norm for"
normgerecht,"regulation, standard (according to standards)"
normieren,to standardize
normotherm,normothermic
Normverbrauch,standard consumption
normwidrig,non-standard
Norne,Norn
Norovirus,norovirus
North Dakota,North Dakota (a state in the Upper Midwest region of the United States)
Northeim,a town and rural district of Lower Saxony
Norwegen,Norway (a country in Scandinavia in Northern Europe
Norweger,Norwegian (male or of unspecified gender) (native or inhabitant of Norway)
Norwegerin,Norwegian (female) (native or inhabitant of Norway)
Norwegisch,the Norwegian language
Nosean,"nosean, noselite"
Noske,a surname
Nosode,nosode
nosokomial,nosocomial
Nosologie,nosology
nosologisch,nosologic
Nossen,"a town in Saxony, Germany"
Nostalgie,nostalgia (yearning for the past)
Nostalgiker,nostalgic
nostalgisch,nostalgic
Nostratisch,Nostratic (the Nostratic language family)
Nostrifikation,nostrification: process or act of granting recognition to a degree from a foreign university
nostrifizieren,to nostrify (to grant recognition to a degree from a foreign university)
Nostrifizierung,nostrification: process or act of granting recognition to a degree from a foreign university
Nostrokonto,nostro account
not,only used in nottun
not amused,angered
Not kennt kein Gebot,necessity knows no law
Not macht erfinderisch,necessity is the mother of invention
not tun,Formerly standard spelling of nottun which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Notar,notary public
notariell,notarial
Notarzt,emergency physician (male or of unspecified gender)
Notation,notation
Notaufnahme,emergency room
Notausgang,"emergency exit, fire escape"
Notausschalter,kill switch
Notbehelf,"makeshift, make-do"
Notbeleuchtung,emergency lighting
Notbremse,emergency brake
Notbremsung,emergency braking
Notburga,a female given name from Old High German
Notdienst,emergency service
Notdurft,necessity
notdürftig,"makeshift, jury-rigged"
Note,note (character indicating the length and pitch of a tone)
Notebook,notebook computer
Noten,"music (sheet music, written music)"
Notenbank,central bank
Notenblatt,sheet of music
Notenhals,stem (the vertical stroke of a symbol representing a note in written music)
Notenkopf,notehead (the elliptical part of a note)
Notenschlüssel,clef
Notenschrift,musical notation
Notenständer,music stand (for holding sheet music)
Notenwert,note value
Notepad,personal digital assistant
Notfall,"emergency, distress"
Notfallbronchoskopie,emergency bronchoscopy
Notfallkoffer,first aid case
Notfallmedizin,emergency medicine (study or profession)
notfalls,"if necessary, in a pinch"
notgedrungen,necessarily (forced by necessity)
notgeil,"lustful, extremely horny, down bad (sexually longing in such a way that one may find it hard to control oneself)"
Notgeld,"Money issued by an institution in a time of economic or political crisis, usually without official sanction from the central government."
notgezwungen,"required by the circumstances, out of necessity"
Noth,Obsolete spelling of Not which was deprecated in 1902 following the Second Orthographic Conference of 1901.
Nothelfer,synonym of Ersthelfer (“first-aider”)
Nothilfe,"relief, humanitarian aid"
Nothlüge,Obsolete spelling of Notlüge which was deprecated in 1902 following the Second Orthographic Conference of 1901.
Nothung,"synonym of Gram, mythical sword."
nothwendig,Obsolete spelling of notwendig which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendige,Obsolete spelling of notwendige which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendigem,Obsolete spelling of notwendigem which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendigen,Obsolete spelling of notwendigen which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendiger,Obsolete spelling of notwendiger which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendiges,Obsolete spelling of notwendiges which was deprecated in 1902 following the Second Orthographic Conference of 1901.
Nothwendigkeit,Obsolete spelling of Notwendigkeit which was deprecated in 1902 following the Second Orthographic Conference of 1901.
nothwendigsten,Obsolete spelling of notwendigsten which was deprecated in 1902 following the Second Orthographic Conference of 1901.
notieren,"to note, to note down, to write down, to jot down"
notiert,listed
Notierung,quotation
Notierungssprung,tick size
Notifikation,notification
Notiz,note (memorandum)
Notizblock,notepad
Notizbuch,notebook (book)
Notizheft,"notebook, notepad, writing pad (book in which notes or memoranda are written)"
Notlage,emergency (situation requiring urgent assistance)
notlanden,"to make an emergency landing, to make a forced landing"
Notlandung,"emergency landing, forced landing"
notleidend,destitute
notleidender Kredit,"non-performing loan, distressed loan, bad debt (a loan in which the borrower is default or in arrears, typically for 90 days or more)"
Notlösung,"emergency solution, stopgap solution"
Notlüge,"a harmless or trivial lie, especially one told to avoid hurting someone's feelings"
Notopleure,notopleuron
notorisch,notorious
Notration,emergency ration
Notruf,emergency call
Notsignal,distress signal
Notstand,"emergency, state of emergency"
Nottaufe,emergency baptism
Nottuln,"a town in Münsterland, North Rhine-Westphalia, Germany"
nottun,to be necessary
Notunterkunft,"shelter for those in need, such as for homelessness or for recovery from natural disasters."
Notverkauf,bailout
Notverordnung,emergency decree
Notwehr,self-defense
notwendig,necessary
notwendigerweise,necessarily
Notwendigkeit,necessity
Notzeit,"rainy day, time of need"
notzwingen,"to rape, to swive by way of compulsion"
Notärztin,emergency physician (female)
Nougat,nougat
Nougatcreme,chocolate spread (sweet chocolate-flavored paste)
Noumenon,noumenon
Nov.,abbreviation of November (“November”)
Novak,a surname
